Augsburg,0,588,721,573,561,360,329,606,253,433,548,363,569,69,148,603,164,604
Berlin,588,0,394,492,564,545,802,286,612,188,555,574,591,585,437,516,629,211
Bremen,721,394,0,234,291,442,705,116,558,373,297,471,318,753,584,244,632,199
Dortmund,573,492,234,0,70,221,484,212,332,418,76,250,97,606,437,34,418,295
Dusseldorf,561,564,291,70,0,228,470,278,323,484,53,217,31,612,444,49,404,361
Frankfurt am Main,360,545,442,221,228,0,270,358,123,396,216,44,257,392,224,257,204,367
Freiburg im Breisgau,329,802,705,484,470,270,0,617,193,649,457,273,479,360,382,513,183,627
Hanover,606,286,116,212,278,358,617,0,466,262,274,379,305,633,465,236,512,85
Sinsheim,253,612,558,332,323,123,193,466,0,457,310,126,332,323,194,365,77,480
Leipzig,433,188,373,418,484,396,649,262,457,0,479,420,510,430,282,448,474,205
Leverkusen,548,555,297,76,53,216,457,274,310,479,0,186,58,580,412,68,372,360
Mainz,363,574,471,250,217,44,273,379,126,420,186,0,235,428,259,260,207,400
Monchengladbach,569,591,318,97,31,257,479,305,332,510,58,235,0,637,469,75,421,394
Munchen,69,585,753,606,612,392,360,633,323,430,580,428,637,0,169,637,232,600
Nuremberg,148,437,584,437,444,224,382,465,194,282,412,259,469,169,0,469,202,456
Gelsenkirchen,603,516,244,34,49,257,513,236,365,448,68,260,75,637,469,0,453,319
Stuttgart,164,629,632,418,404,204,183,512,77,474,372,207,421,232,202,453,0,527
Wolfsburg,604,211,199,295,361,367,627,85,480,205,360,400,394,600,456,319,527,0
